,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
0,1,Jalen Rose,27,IND,32.0,32.0,121,0.264,80,37.2,18.2,4.8,4.0,1.1,0.6,0.471,0.393,0.827,7.3,0.118,2000
1,2,Dirk Nowitzki,21,DAL,25.0,25.0,121,0.207,82,35.8,17.5,6.5,2.5,0.8,0.8,0.461,0.379,0.83,8.1,0.132,2000
2,3,Jerry Stackhouse,25,DET,19.0,19.0,121,0.157,82,38.4,23.6,3.8,4.5,1.3,0.4,0.428,0.288,0.815,7.3,0.111,2000
3,4,Austin Croshere,24,IND,17.0,17.0,121,0.14,81,23.3,10.3,6.4,1.1,0.5,0.7,0.441,0.362,0.848,5.4,0.138,2000
4,5,Tracy McGrady,20,TOR,7.0,7.0,121,0.058,79,31.2,15.4,6.3,3.3,1.1,1.9,0.451,0.277,0.707,6.6,0.129,2000
5,6T,John Amaechi,29,ORL,4.0,4.0,121,0.033,80,21.1,10.5,3.3,1.2,0.4,0.5,0.437,0.167,0.766,2.4,0.067,2000
6,6T,Ruben Patterson,24,SEA,4.0,4.0,121,0.033,81,25.9,11.6,5.4,1.6,1.2,0.5,0.536,0.444,0.692,6.7,0.153,2000
7,8T,Michael Dickerson,24,VAN,3.0,3.0,121,0.025,82,37.8,18.2,3.4,2.5,1.4,0.5,0.436,0.409,0.83,5.5,0.085,2000
8,8T,Rodney Rogers,28,PHO,3.0,3.0,121,0.025,82,27.9,13.8,5.5,2.1,1.1,0.6,0.486,0.439,0.639,7.4,0.154,2000
9,10,Shaquille O'Neal,27,LAL,2.0,2.0,121,0.017,79,40.0,29.7,13.6,3.8,0.5,3.0,0.574,0.0,0.524,18.6,0.283,2000
10,11T,Kobe Bryant,21,LAL,1.0,1.0,121,0.008,66,38.2,22.5,6.3,4.9,1.6,0.9,0.468,0.319,0.821,10.6,0.202,2000
11,11T,Derrick Coleman,32,CHH,1.0,1.0,121,0.008,74,31.7,16.7,8.5,2.4,0.5,1.8,0.456,0.362,0.785,6.5,0.133,2000
12,11T,Sean Elliott,31,SAS,1.0,1.0,121,0.008,19,20.6,6.0,2.5,1.5,0.6,0.1,0.358,0.351,0.781,0.5,0.067,2000
13,11T,Rashard Lewis,20,SEA,1.0,1.0,121,0.008,82,19.2,8.2,4.1,0.9,0.8,0.4,0.486,0.333,0.683,4.1,0.125,2000
14,11T,Bob Sura,26,CLE,1.0,1.0,121,0.008,73,30.4,13.8,3.9,3.9,1.2,0.3,0.437,0.367,0.697,4.9,0.107,2000
0,1,Tracy McGrady,21,ORL,74.0,74.0,124,0.597,77,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189,2001
1,2,Peja Stojaković,23,SAC,14.0,14.0,124,0.113,75,38.7,20.4,5.8,2.2,1.2,0.2,0.47,0.4,0.856,10.1,0.168,2001
2,3,Steve Nash,26,DAL,12.0,12.0,124,0.097,70,34.1,15.6,3.2,7.3,1.0,0.1,0.487,0.406,0.895,8.4,0.169,2001
