,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27,Arena,Attend.,Attend./G,Year
0,1.0,Los Angeles Lakers*,29.2,67.0,15.0,64,18,8.55,-0.14,8.41,107.3,98.2,9.1,93.3,0.346,0.153,0.525,,0.484,12.7,30.6,0.241,,0.443,13.4,73.1,0.222,,STAPLES Center,771420,18815,2000
1,2.0,Portland Trail Blazers*,29.6,59.0,23.0,59,23,6.4,-0.04,6.36,107.9,100.8,7.1,89.9,0.316,0.175,0.546,,0.501,14.5,30.3,0.24,,0.461,13.8,72.4,0.217,,Rose Garden Arena,835078,20368,2000
2,3.0,San Antonio Spurs*,30.9,53.0,29.0,58,24,5.94,-0.02,5.92,105.0,98.6,6.4,90.8,0.346,0.138,0.535,,0.488,14.3,27.8,0.258,,0.451,13.5,73.0,0.188,,Alamodome,884450,21694,2000
3,4.0,Phoenix Suns*,28.6,53.0,29.0,56,26,5.22,0.02,5.24,104.6,99.0,5.6,94.0,0.286,0.184,0.532,,0.491,15.2,29.3,0.217,,0.454,15.7,70.5,0.245,,America West Arena,773115,18856,2000
4,5.0,Utah Jazz*,31.5,55.0,27.0,54,28,4.46,0.05,4.52,107.3,102.3,5.0,89.6,0.337,0.134,0.54,,0.49,14.3,29.5,0.26,,0.477,15.0,73.2,0.256,,Delta Center,801268,19543,2000
5,6.0,Indiana Pacers*,30.4,56.0,26.0,54,28,4.6,-0.45,4.15,108.5,103.6,4.9,93.1,0.302,0.224,0.552,,0.503,13.3,24.9,0.245,,0.469,12.6,71.5,0.197,,Conseco Fieldhouse,752145,18345,2000
6,7.0,Miami Heat*,29.2,52.0,30.0,50,32,3.11,-0.36,2.75,104.5,101.0,3.5,89.7,0.283,0.186,0.533,,0.495,14.5,28.2,0.208,,0.453,13.3,72.9,0.229,,AmericanAirlines Arena,706725,18374,2000
7,8.0,Sacramento Kings*,27.5,44.0,38.0,49,33,2.91,0.12,3.04,105.0,102.1,2.9,99.3,0.277,0.227,0.526,,0.486,13.9,27.7,0.209,,0.479,15.1,69.7,0.198,,ARCO Arena (II),720033,17562,2000
8,9.0,Charlotte Hornets*,28.7,49.0,33.0,49,33,2.67,-0.34,2.33,104.3,101.4,2.9,93.9,0.376,0.153,0.53,,0.475,13.7,25.7,0.285,,0.478,14.6,73.2,0.198,,Charlotte Coliseum,732827,17874,2000
9,10.0,Minnesota Timberwolves*,26.6,50.0,32.0,48,34,2.52,0.14,2.67,106.1,103.4,2.7,91.8,0.256,0.104,0.525,,0.485,12.9,29.4,0.2,,0.474,14.0,73.0,0.25,,Target Center,690012,16830,2000
10,11.0,New York Knicks*,29.5,50.0,32.0,46,36,1.46,-0.16,1.3,102.5,100.9,1.6,89.2,0.283,0.147,0.527,,0.482,14.4,24.7,0.221,,0.455,13.6,73.1,0.251,,Madison Square Garden (IV),810103,19763,2000
11,12.0,Detroit Pistons*,28.3,42.0,40.0,45,37,1.44,-0.31,1.13,107.3,105.8,1.5,95.7,0.378,0.184,0.548,,0.492,14.3,26.8,0.295,,0.499,15.4,71.6,0.249,,The Palace of Auburn Hills,678470,16548,2000
12,13.0,Philadelphia 76ers*,27.1,49.0,33.0,45,37,1.34,-0.32,1.02,101.5,100.0,1.5,92.7,0.329,0.095,0.501,,0.457,14.2,31.4,0.233,,0.466,16.2,69.9,0.229,,First Union Center,756956,18462,2000
13,14.0,Seattle SuperSonics*,28.5,45.0,37.0,44,38,0.95,0.22,1.17,105.6,104.6,1.0,93.4,0.282,0.232,0.52,,0.487,12.9,28.5,0.196,,0.483,14.0,69.6,0.193,,KeyArena at Seattle Center,615730,15018,2000
14,15.0,Orlando Magic,26.3,41.0,41.0,43,39,0.68,-0.26,0.43,102.4,101.7,0.7,97.3,0.305,0.124,0.516,,0.473,15.4,31.6,0.224,,0.476,15.9,69.9,0.226,,TD Waterhouse Centre,576409,14059,2000
15,16.0,Milwaukee Bucks*,28.2,42.0,40.0,42,40,0.22,-0.28,-0.06,108.2,107.9,0.3,92.7,0.29,0.157,0.539,,0.494,13.8,30.0,0.228,,0.496,14.6,69.6,0.254,,Bradley Center,628605,15332,2000
16,17.0,Toronto Raptors*,29.3,45.0,37.0,41,41,-0.16,-0.3,-0.46,104.7,104.9,-0.2,92.5,0.3,0.17,0.511,,0.464,12.7,30.1,0.23,,0.48,14.2,71.8,0.247,,Air Canada Centre,756496,18451,2000
17,18.0,Dallas Mavericks,26.3,40.0,42.0,39,43,-0.57,0.29,-0.29,106.6,107.2,-0.6,94.9,0.248,0.188,0.532,,0.49,12.6,25.5,0.2,,0.488,14.2,66.1,0.21,,Reunion Arena,606177,14785,2000
18,19.0,Boston Celtics,25.4,35.0,47.0,39,43,-0.76,-0.24,-1.0,104.8,105.6,-0.8,94.6,0.316,0.183,0.52,,0.474,13.8,30.4,0.236,,0.498,15.8,73.8,0.306,,FleetCenter,683608,16673,2000
19,20.0,Houston Rockets,26.3,34.0,48.0,39,43,-0.87,0.3,-0.57,104.8,105.7,-0.9,94.2,0.322,0.244,0.536,,0.494,15.8,29.1,0.236,,0.481,12.5,71.6,0.201,,Compaq Center,624594,15234,2000
20,21.0,New Jersey Nets,27.3,31.0,51.0,38,44,-1.04,-0.15,-1.18,105.1,106.3,-1.2,92.5,0.297,0.2,0.517,,0.468,12.6,28.1,0.233,,0.491,15.2,67.2,0.223,,Continental Airlines Arena,643631,15698,2000
21,22.0,Denver Nuggets,25.9,35.0,47.0,35,47,-2.12,0.36,-1.76,103.5,105.8,-2.3,94.7,0.306,0.202,0.517,,0.476,14.0,29.2,0.222,,0.479,13.0,71.6,0.235,,Pepsi Center,637698,15554,2000
22,23.0,Washington Wizards,28.0,29.0,53.0,32,50,-3.28,-0.19,-3.47,103.5,107.0,-3.5,92.7,0.315,0.133,0.521,,0.476,14.8,30.6,0.234,,0.489,13.9,71.7,0.273,,MCI Center,616593,15039,2000
23,24.0,Cleveland Cavaliers,27.2,32.0,50.0,31,51,-3.5,-0.14,-3.64,100.4,104.0,-3.6,95.7,0.327,0.136,0.516,,0.468,15.6,28.1,0.245,,0.474,15.1,71.2,0.275,,Gund Arena,603702,14724,2000
24,25.0,Atlanta Hawks,27.6,28.0,54.0,26,56,-5.38,-0.04,-5.41,102.0,107.9,-5.9,91.7,0.292,0.12,0.503,,0.46,14.1,31.7,0.217,,0.481,11.3,71.0,0.196,,Philips Arena,600954,14657,2000
25,26.0,Vancouver Grizzlies,25.3,22.0,60.0,25,57,-5.62,0.52,-5.1,102.3,108.5,-6.2,91.0,0.32,0.139,0.524,,0.474,15.8,30.1,0.247,,0.502,14.1,70.6,0.231,,General Motors Place,569864,13899,2000
26,27.0,Golden State Warriors,26.9,19.0,63.0,20,62,-8.27,0.64,-7.63,99.8,108.4,-8.6,95.4,0.301,0.15,0.484,,0.444,13.9,32.6,0.21,,0.499,14.6,69.1,0.259,,The Arena in Oakland,509171,12419,2000
27,28.0,Chicago Bulls,26.0,17.0,65.0,15,67,-9.4,0.17,-9.23,94.2,104.6,-10.4,89.4,0.338,0.167,0.49,,0.443,18.0,29.9,0.24,,0.484,14.5,69.9,0.24,,United Center,907064,22124,2000
28,29.0,Los Angeles Clippers,24.2,15.0,67.0,13,69,-11.52,0.8,-10.73,97.8,110.1,-12.3,93.9,0.27,0.188,0.499,,0.458,14.9,26.1,0.202,,0.507,13.1,69.6,0.22,,STAPLES Center,559714,13652,2000
29,,League Average,27.8,,,41,41,0.0,0.0,0.0,104.1,104.1,,93.1,0.308,0.167,0.523,,0.478,14.2,28.9,0.231,,0.478,14.2,71.1,0.231,,,691469,16892,2000
0,1.0,San Antonio Spurs*,29.5,58.0,24.0,63,19,7.76,0.16,7.92,106.6,98.0,8.6,89.6,0.374,0.175,0.541,,0.496,13.6,27.1,0.267,,0.444,12.9,73.7,0.182,,Alamodome,913176,22273,2001
1,2.0,Sacramento Kings*,27.1,55.0,27.0,57,25,5.82,0.25,6.07,105.6,99.6,6.0,94.4,0.298,0.194,0.529,,0.484,13.4,27.2,0.23,,0.46,14.5,70.7,0.181,,ARCO Arena (II),709997,17317,2001
2,3.0,Utah Jazz*,32.0,53.0,29.0,55,27,4.7,0.31,5.0,107.6,102.4,5.2,89.8,0.363,0.135,0.546,,0.497,15.1,30.2,0.273,,0.473,15.6,73.2,0.301,,Delta Center,792196,19322,2001
3,4.0,Philadelphia 76ers*,28.2,56.0,26.0,54,28,4.28,-0.65,3.64,103.6,98.9,4.7,90.6,0.351,0.124,0.518,,0.468,14.7,31.2,0.262,,0.46,14.5,72.5,0.186,,First Union Center,805692,19651,2001
4,5.0,Portland Trail Blazers*,30.1,50.0,32.0,53,29,4.2,0.33,4.52,106.5,101.8,4.7,89.1,0.296,0.165,0.539,,0.497,14.8,30.0,0.225,,0.47,14.3,72.4,0.223,,Rose Garden Arena,831376,20277,2001
5,6.0,Dallas Mavericks*,26.6,53.0,29.0,53,29,4.28,0.32,4.61,107.1,102.6,4.5,93.2,0.291,0.202,0.544,,0.498,13.1,24.1,0.231,,0.467,14.2,70.7,0.244,,Reunion Arena,680238,16591,2001
6,7.0,Milwaukee Bucks*,28.2,52.0,30.0,52,30,3.88,-0.74,3.14,108.8,104.6,4.2,92.1,0.276,0.218,0.542,,0.499,12.8,28.1,0.217,,0.473,14.4,71.1,0.253,,Bradley Center,683125,16662,2001
7,8.0,Los Angeles Lakers*,29.2,56.0,26.0,51,31,3.38,0.37,3.74,108.4,104.8,3.6,91.7,0.349,0.191,0.535,,0.498,13.3,31.1,0.238,,0.468,12.2,72.5,0.234,,STAPLES Center,776336,18935,2001
